file,cluster
05-067-06145_1331506__939269___2000-04-24.tif,1
05-067-05751_1793326__2056699___2007-07-16.tif,0
05-067-06373_1173126__306291___2003-06-19.tif,2
05-067-09187_2445084__2854365___2012-01-13.tif,2
05-067-08382_2222360__2860713___2011-11-16.tif,0
05-071-08489_1629509__2162421___2009-07-17.tif,1
05-067-05139_17777055__2040405___2009-04-08.tif,2
05-067-06284_17777907__2050493___2007-10-22.tif,0
05-067-09248_2222785__2871964___2011-11-14.tif,0
05-067-08985_400765986__3459515___2011-04-18.tif,0
05-007-06209_2221113__2823014___2011-11-16.tif,1
05-067-08294_401173316__3997430___2016-11-08.tif,2
05-067-09180_1793054__2057023___2007-05-24.tif,2
05-067-08185_400786243__3271412___2009-12-30.tif,0
05-067-08085_2521141__2534883___2010-05-21.tif,0
05-071-07472_1629651__2164600___2009-08-07.tif,1
05-071-08737_2524764__2670980___2010-10-07.tif,1
05-067-08329_400951430__3611743___2015-05-18.tif,1
05-067-07884_2222108__2856622___2011-11-16.tif,0
05-067-09189_17777982__2044444___2007-09-25.tif,2
05-067-06702_1631419__2202246___2009-10-15.tif,2
05-067-07061_1793297__2050294___2007-07-12.tif,2
05-067-08193_17777127__2040315___2007-12-10.tif,1
05-067-09132_400985915__3626567___2015-06-15.tif,0
05-071-09102_400779906__3501136___2014-08-19.tif,1
05-067-06630_1702844__2188652___2009-10-05.tif,2
05-071-08387_2169282__2946712___2012-06-29.tif,1
05-067-09764_400973793__3611530___2015-05-18.tif,1
05-067-06275_400723393__3473604___2014-11-03.tif,0
05-067-08271_400910205__3663110___2015-08-14.tif,1
05-067-06375_1794522__2061668___2009-06-03.tif,2
05-067-08799_17777810__2048156___2007-11-21.tif,1
05-067-05274_17777073__2040338___2009-04-08.tif,2
05-071-07974_2514496__2928148___2012-05-25.tif,1
05-067-06666_1631243__2202422___2009-11-25.tif,2
05-067-05312_17778056__2044418___2007-08-30.tif,2
05-067-09762_2169936__2953908___2012-07-13.tif,1
05-067-08349_1332008__1497165___2001-12-05.tif,1
05-067-07144_401014443__3641473___2015-07-09.tif,2
05-067-07116_1149155__1510008___1999-07-26.tif,0
05-067-06783_400827006__3569294___2015-03-12.tif,1
05-067-08036_1331512__537037___2000-07-13.tif,1
05-067-09301_1701506__2040602___2008-09-17.tif,2
